ccode,OECD_Country_Name,ISO3OECD,OECD_Region,OECD_simple_name
40,Austria,AUT,W. Europe,Austria
56,Belgium,BEL,W. Europe,Belgium
280,Federal Republic of Germany (until 1990),,W. Europe,Federal Republic Of Germany (until 1990)
250,France,FRA,W. Europe,France
278,German Democratic Republic (until 1990),DDR,East. Europe and form. SU,German Democratic Republic
276,Germany,DEU,W. Europe,Germany
438,Liechtenstein,LIE,W. Europe,Liechtenstein
442,Luxembourg,LUX,W. Europe,Luxembourg
492,Monaco,MCO,W. Europe,Monaco
528,Netherlands,NLD,W. Europe,Netherlands
756,Switzerland,CHE,W. Europe,Switzerland
248,Åland Islands,ALA,W. Europe,Aland Islands
830,Channel Islands,,W. Europe,Channel Islands
208,Denmark,DNK,W. Europe,Denmark
233,Estonia,EST,East. Europe and form. SU,Estonia
234,Faeroe Islands,FRO,W. Europe,Faroe Islands
246,Finland,FIN,W. Europe,Finland
831,Guernsey,GGY,W. Europe,Guernsey
352,Iceland,ISL,W. Europe,Iceland
372,Ireland,IRL,W. Europe,Ireland
833,Isle of Man,IMN,W. Europe,Isle Of Man
832,Jersey,JEY,W. Europe,Jersey
428,Latvia,LVA,East. Europe and form. SU,Latvia
440,Lithuania,LTU,East. Europe and form. SU,Lithuania
578,Norway,NOR,W. Europe,Norway
680,Sark,,W. Europe,Sark
744,Svalbard and Jan Mayen Islands,SJM,W. Europe,Svalbard And Jan Mayen
752,Sweden,SWE,W. Europe,Sweden
826,United Kingdom of Great Britain and Northern Ireland,GBR,W. Europe,United Kingdom
8,Albania,ALB,East. Europe and form. SU,Albania
20,Andorra,AND,W. Europe,Andorra
70,Bosnia and Herzegovina,BIH,East. Europe and form. SU,Bosnia And Herzegovina
191,Croatia,HRV,East. Europe and form. SU,Croatia
292,Gibraltar,GIB,W. Europe,Gibraltar
300,Greece,GRC,W. Europe,Greece
336,Holy See,VAT,W. Europe,Holy See (vatican City State)
380,Italy,ITA,W. Europe,Italy
470,Malta,MLT,W. Europe,Malta
499,Montenegro,MNE,East. Europe and form. SU,Montenegro
620,Portugal,PRT,W. Europe,Portugal
